"seriesnum","model","ns","timestep","val"
1,"food chain","nonstationary",1,0.7347
1,"food chain","nonstationary",2,0.7408
1,"food chain","nonstationary",3,0.5963
1,"food chain","nonstationary",4,0.4962
1,"food chain","nonstationary",5,0.6133
1,"food chain","nonstationary",6,0.7914
1,"food chain","nonstationary",7,0.8254
1,"food chain","nonstationary",8,0.8835
1,"food chain","nonstationary",9,0.8911
1,"food chain","nonstationary",10,0.9494
1,"food chain","nonstationary",11,1.0076
1,"food chain","nonstationary",12,0.9633
1,"food chain","nonstationary",13,1.0052
1,"food chain","nonstationary",14,1
1,"food chain","nonstationary",15,1.0291
1,"food chain","nonstationary",16,1.0054
1,"food chain","nonstationary",17,0.9825
1,"food chain","nonstationary",18,0.968
1,"food chain","nonstationary",19,0.9093
1,"food chain","nonstationary",20,0.919
1,"food chain","nonstationary",21,0.6722
1,"food chain","nonstationary",22,0.1332
1,"food chain","nonstationary",23,0.5642
1,"food chain","nonstationary",24,0.8784
1,"food chain","nonstationary",25,0.8027
1,"food chain","nonstationary",26,0.4528
1,"food chain","nonstationary",27,0.2387
1,"food chain","nonstationary",28,0.8273
1,"food chain","nonstationary",29,0.8164
1,"food chain","nonstationary",30,0.7476
1,"food chain","nonstationary",31,0.5308
1,"food chain","nonstationary",32,0.4097
1,"food chain","nonstationary",33,0.6285
1,"food chain","nonstationary",34,0.7499
1,"food chain","nonstationary",35,0.8234
1,"food chain","nonstationary",36,0.909
1,"food chain","nonstationary",37,0.9198
1,"food chain","nonstationary",38,0.9688
1,"food chain","nonstationary",39,0.9653
1,"food chain","nonstationary",40,0.9682
1,"food chain","nonstationary",41,0.9819
1,"food chain","nonstationary",42,0.9887
1,"food chain","nonstationary",43,0.9559
1,"food chain","nonstationary",44,1.017
1,"food chain","nonstationary",45,1.0102
1,"food chain","nonstationary",46,0.9397
1,"food chain","nonstationary",47,1.0066
1,"food chain","nonstationary",48,0.9925
1,"food chain","nonstationary",49,0.9449
1,"food chain","nonstationary",50,0.9323
1,"food chain","nonstationary",51,0.8004
1,"food chain","nonstationary",52,0.322
1,"food chain","nonstationary",53,0.1091
